Timestamp,Conditions,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeEDT,TimeEST,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,Time,Hour,Date
01/01/2015 00:50,Overcast,-15,,-,54,,1017.4,-7.2,,12:56 AM,16.1,SW,18.5,230,00:50,0,01/01/2015
01/01/2015 01:50,Overcast,-14.4,,-,55,,1017.2,-6.6,,1:56 AM,16.1,WSW,14.8,240,01:50,1,01/01/2015
01/01/2015 02:50,Overcast,-14.4,,-,55,,1016.9,-6.6,,2:56 AM,16.1,SW,14.8,220,02:50,2,01/01/2015
01/01/2015 03:50,Overcast,-14.4,,-,55,,1017.2,-6.6,,3:56 AM,16.1,SW,18.5,220,03:50,3,01/01/2015
01/01/2015 04:50,Overcast,-14.4,,-,55,,1017.2,-6.6,,4:56 AM,16.1,SSW,14.8,210,04:50,4,01/01/2015
01/01/2015 05:50,Overcast,-13.8,,-,57,,1017.4,-6.6,,5:56 AM,16.1,SW,16.7,230,05:50,5,01/01/2015
01/01/2015 06:50,Overcast,-14,,-,58,,1015.5,-7,,6:19 AM,16.1,SW,13,230,06:50,6,01/01/2015
01/01/2015 07:50,Overcast,-13.8,,-,55,,1017.1,-6.1,,6:56 AM,16.1,SW,16.7,220,07:50,7,01/01/2015
01/01/2015 08:50,Mostly Cloudy,-12.7,,-,60,,1017.1,-6.1,,7:56 AM,16.1,SW,14.8,230,08:50,8,01/01/2015
01/01/2015 09:50,Scattered Clouds,-12.7,,-,55,,1017,-5,,8:56 AM,16.1,SW,22.2,220,09:50,9,01/01/2015
01/01/2015 10:50,Partly Cloudy,-13.3,,-,53,,1016.5,-5,,9:56 AM,16.1,WSW,20.4,240,10:50,10,01/01/2015
01/01/2015 11:50,Clear,-13.3,,27.8,53,,1015.6,-5,,10:56 AM,16.1,SSW,16.7,210,11:50,11,01/01/2015
01/01/2015 12:50,Clear,-13.3,,-,45,,1014,-2.7,,11:56 AM,16.1,SSW,20.4,210,12:50,12,01/01/2015
01/01/2015 13:50,Clear,-13.8,,37,40,,1012.3,-1.6,,12:56 PM,16.1,SW,25.9,230,13:50,13,01/01/2015
01/01/2015 14:50,Clear,-13.3,,-,38,,1011.5,-0.5,,1:56 PM,16.1,South,20.4,190,14:50,14,01/01/2015
01/01/2015 15:50,Clear,-13.8,,-,35,,1011.4,0,,2:56 PM,16.1,WSW,22.2,240,15:50,15,01/01/2015
01/01/2015 16:50,Clear,-13.3,,-,38,,1011.3,-0.5,,3:56 PM,16.1,WSW,14.8,240,16:50,16,01/01/2015
01/01/2015 17:50,Mostly Cloudy,-12.7,,-,38,,1011.4,0,,4:56 PM,16.1,WSW,16.7,250,17:50,17,01/01/2015
01/01/2015 18:50,Mostly Cloudy,-12.2,,-,39,,1011.9,0.5,,5:56 PM,16.1,WSW,22.2,250,18:50,18,01/01/2015
01/01/2015 19:50,Scattered Clouds,-11.6,,-,42,,1012.5,0,,6:56 PM,16.1,WSW,18.5,250,19:50,19,01/01/2015
01/01/2015 20:50,Overcast,-11.6,,29.6,42,,1013.3,0,,7:56 PM,16.1,WSW,14.8,250,20:50,20,01/01/2015
01/01/2015 21:50,Overcast,-11.1,,-,44,,1013.5,0,,8:56 PM,16.1,WSW,18.5,250,21:50,21,01/01/2015
01/01/2015 22:50,Overcast,-10,,-,48,,1014.1,0,,9:56 PM,16.1,West,24.1,270,22:50,22,01/01/2015
01/01/2015 23:50,Overcast,-9.4,,35.2,50,,1015,0,,10:56 PM,16.1,West,25.9,270,23:50,23,01/01/2015
02/01/2015 00:50,Overcast,-8.8,,-,52,,1015.8,0,,11:56 PM,16.1,West,25.9,270,00:50,0,02/01/2015
02/01/2015 01:50,Overcast,-7.7,,37,59,,1015.3,-0.5,,12:56 AM,16.1,West,24.1,270,01:50,1,02/01/2015
02/01/2015 02:50,Overcast,-6.6,,-,64,,1015.9,-0.5,,1:56 AM,16.1,West,24.1,270,02:50,2,02/01/2015
02/01/2015 03:50,Overcast,-6.1,,-,69,,1016.7,-1.1,,2:56 AM,16.1,West,25.9,270,03:50,3,02/01/2015
