Timestamp,Conditions,DateUTC<br />,Timestamp,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeBST,TimeGMT,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees,Time,,
01/01/2015 00:20,Overcast,2015-01-01 00:20:00<br />,01/01/2015 00:20,7,,-,82,,1029,10,,12:20 AM,10,SSW,16.7,210,00:20,,
01/01/2015 00:50,Overcast,2015-01-01 00:50:00<br />,01/01/2015 00:50,8,,-,82,,1029,11,,12:50 AM,10,SW,20.4,220,00:50,,
01/01/2015 01:20,Overcast,2015-01-01 01:20:00<br />,01/01/2015 01:20,8,,-,87,,1028,10,,1:20 AM,10,SSW,18.5,210,01:20,,
01/01/2015 01:50,Overcast,2015-01-01 01:50:00<br />,01/01/2015 01:50,8,,-,87,,1029,10,,1:50 AM,10,SSW,14.8,200,01:50,,
01/01/2015 02:20,Overcast,2015-01-01 02:20:00<br />,01/01/2015 02:20,8,,-,87,,1029,10,,2:20 AM,10,South,13,180,02:20,,
01/01/2015 02:50,Overcast,2015-01-01 02:50:00<br />,01/01/2015 02:50,8,,-,87,,1029,10,,2:50 AM,10,South,9.3,190,02:50,,
01/01/2015 03:20,Overcast,2015-01-01 03:20:00<br />,01/01/2015 03:20,9,,-,94,,1029,10,,3:20 AM,10,South,11.1,180,03:20,,
01/01/2015 03:50,Overcast,2015-01-01 03:50:00<br />,01/01/2015 03:50,9,,-,94,,1028,10,,3:50 AM,10,South,11.1,170,03:50,,
01/01/2015 04:20,Overcast,2015-01-01 04:20:00<br />,01/01/2015 04:20,9,,-,94,,1028,10,,4:20 AM,10,SSE,14.8,160,04:20,,
01/01/2015 04:50,Overcast,2015-01-01 04:50:00<br />,01/01/2015 04:50,9,,-,94,,1028,10,,4:50 AM,10,SSE,11.1,160,04:50,,
01/01/2015 05:20,Overcast,2015-01-01 05:20:00<br />,01/01/2015 05:20,9,,-,94,,1028,10,,5:20 AM,10,SSE,9.3,160,05:20,,
01/01/2015 05:50,Mostly Cloudy,2015-01-01 05:50:00<br />,01/01/2015 05:50,9,,-,94,,1027,10,,5:50 AM,10,South,16.7,180,05:50,,
01/01/2015 06:20,Mostly Cloudy,2015-01-01 06:20:00<br />,01/01/2015 06:20,9,,-,88,,1027,11,,6:20 AM,10,South,20.4,180,06:20,,
01/01/2015 06:50,Mostly Cloudy,2015-01-01 06:50:00<br />,01/01/2015 06:50,9,,-,88,,1026,11,,6:50 AM,10,South,18.5,180,06:50,,
01/01/2015 07:20,Overcast,2015-01-01 07:20:00<br />,01/01/2015 07:20,9,,-,88,,1026,11,,7:20 AM,10,South,18.5,180,07:20,,
01/01/2015 07:50,Overcast,2015-01-01 07:50:00<br />,01/01/2015 07:50,9,,-,88,,1027,11,,7:50 AM,10,South,16.7,190,07:50,,
01/01/2015 08:20,Overcast,2015-01-01 08:20:00<br />,01/01/2015 08:20,9,,-,88,,1027,11,,8:20 AM,10,South,13,190,08:20,,
01/01/2015 08:50,Overcast,2015-01-01 08:50:00<br />,01/01/2015 08:50,9,,-,88,,1027,11,,8:50 AM,10,SSW,14.8,210,08:50,,
01/01/2015 09:20,Overcast,2015-01-01 09:20:00<br />,01/01/2015 09:20,9,,-,88,,1027,11,,9:20 AM,10,SW,14.8,230,09:20,,
01/01/2015 09:50,Overcast,2015-01-01 09:50:00<br />,01/01/2015 09:50,9,,-,88,,1027,11,,9:50 AM,10,SSW,11.1,200,09:50,,
01/01/2015 10:20,Overcast,2015-01-01 10:20:00<br />,01/01/2015 10:20,9,,-,88,,1027,11,,10:20 AM,10,SW,14.8,230,10:20,,
01/01/2015 10:50,Overcast,2015-01-01 10:50:00<br />,01/01/2015 10:50,9,,-,82,,1027,12,,10:50 AM,10,SW,22.2,230,10:50,,
01/01/2015 11:20,Mostly Cloudy,2015-01-01 11:20:00<br />,01/01/2015 11:20,9,,-,82,,1026,12,,11:20 AM,10,SW,16.7,220,11:20,,
01/01/2015 11:50,Mostly Cloudy,2015-01-01 11:50:00<br />,01/01/2015 11:50,9,,-,82,,1025,12,,11:50 AM,10,SW,22.2,220,11:50,,
01/01/2015 12:20,Overcast,2015-01-01 12:20:00<br />,01/01/2015 12:20,9,,-,82,,1024,12,,12:20 PM,10,SW,20.4,230,12:20,,
01/01/2015 12:50,Overcast,2015-01-01 12:50:00<br />,01/01/2015 12:50,10,,-,88,,1024,12,,12:50 PM,10,SW,20.4,230,12:50,,
01/01/2015 13:20,Overcast,2015-01-01 13:20:00<br />,01/01/2015 13:20,10,,-,88,,1023,12,,1:20 PM,10,SW,29.6,220,13:20,,
01/01/2015 13:50,Overcast,2015-01-01 13:50:00<br />,01/01/2015 13:50,10,,-,88,,1023,12,,1:50 PM,10,SW,22.2,230,13:50,,
01/01/2015 14:20,Overcast,2015-01-01 14:20:00<br />,01/01/2015 14:20,10,,-,88,,1023,12,,2:20 PM,10,SW,24.1,220,14:20,,
01/01/2015 14:50,Overcast,2015-01-01 14:50:00<br />,01/01/2015 14:50,10,,-,88,,1022,12,,2:50 PM,10,SSW,24.1,210,14:50,,
01/01/2015 15:20,Mostly Cloudy,2015-01-01 15:20:00<br />,01/01/2015 15:20,10,,-,88,,1022,12,,3:20 PM,10,SSW,25.9,210,15:20,,
01/01/2015 15:50,Overcast,2015-01-01 15:50:00<br />,01/01/2015 15:50,10,,-,88,,1021,12,,3:50 PM,10,SW,29.6,220,15:50,,
01/01/2015 16:20,Overcast,2015-01-01 16:20:00<br />,01/01/2015 16:20,10,,-,88,,1021,12,,4:20 PM,10,SW,27.8,220,16:20,,
01/01/2015 16:50,Rain,2015-01-01 16:50:00<br />,01/01/2015 16:50,11,Rain,-,94,,1021,12,,4:50 PM,-9999,SW,25.9,220,16:50,,
01/01/2015 17:20,Light Rain,2015-01-01 17:20:00<br />,01/01/2015 17:20,10,Rain,-,88,,1020,12,,5:20 PM,10,SW,24.1,220,17:20,,
01/01/2015 17:50,Rain,2015-01-01 17:50:00<br />,01/01/2015 17:50,10,Rain,-,88,,1020,12,,5:50 PM,6,SW,24.1,220,17:50,,
01/01/2015 18:20,Overcast,2015-01-01 18:20:00<br />,01/01/2015 18:20,11,,44.4,94,,1020,12,,6:20 PM,10,SW,25.9,230,18:20,,
